Eye,Face,Lips,Nails,Tongue,Vitamin Deficiency,Recommendation
Cataracts,Dry or Flasky Skin,Cracked,beau's line,Magenta Coloured Tongue,"Vitamin B1 Deficiency, Vitamin B2 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Dry or Flasky Skin,Cracked,beau's line,Not Visible / Normal,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Dry or Flasky Skin,Cracked,beau's line,Swollen Red,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Dry or Flasky Skin,Cracked,beau's line,White Tongue,"Vitamin B7 Deficiency, Vitamin K Deficiency, Vitamin E Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Dry or Flasky Skin,Cracked,black line,,"Vitamin D Deficiency, Vitamin B12 Deficiency, Vitamin B2 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Dry or Flasky Skin,Cracked,black line,Magenta Coloured Tongue,"Vitamin K Deficiency, Vitamin B5 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Dry or Flasky Skin,Cracked,black line,Not Visible / Normal,"Vitamin B12 Deficiency, Vitamin D Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Dry or Flasky Skin,Cracked,black line,Swollen Red,"Vitamin B7 Deficiency, Vitamin E Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Dry or Flasky Skin,Cracked,black line,White Tongue,"Vitamin E Deficiency, Vitamin B7 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Dry or Flasky Skin,Cracked,clubbing,,"Vitamin B2 Deficiency, Vitamin B6 Deficiency, Vitamin B5 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Dry or Flasky Skin,Cracked,clubbing,Magenta Coloured Tongue,"Vitamin E Deficiency, Vitamin B12 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Dry or Flasky Skin,Cracked,clubbing,Not Visible / Normal,"Vitamin B1 Deficiency, Vitamin D Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Dry or Flasky Skin,Cracked,clubbing,Swollen Red,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Dry or Flasky Skin,Cracked,clubbing,White Tongue,"Vitamin K Deficiency, Vitamin C Deficiency, Vitamin B6 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Dry or Flasky Skin,Cracked,muehrck-e's lines,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Cracked,muehrck-e's lines,Magenta Coloured Tongue,"Vitamin D Deficiency, Vitamin B1 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Dry or Flasky Skin,Cracked,muehrck-e's lines,Not Visible / Normal,"Vitamin K Deficiency, Vitamin B7 Deficiency, Vitamin B7 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Dry or Flasky Skin,Cracked,muehrck-e's lines,Swollen Red,"Vitamin B3 Deficiency, Vitamin B2 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Dry or Flasky Skin,Cracked,muehrck-e's lines,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Cracked,onycholysis,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Cracked,onycholysis,Magenta Coloured Tongue,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Dry or Flasky Skin,Cracked,onycholysis,Not Visible / Normal,"Vitamin E Deficiency, Vitamin B3 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Dry or Flasky Skin,Cracked,onycholysis,Swollen Red,"Vitamin B12 Deficiency, Vitamin C Deficiency, Vitamin C Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Cataracts,Dry or Flasky Skin,Cracked,onycholysis,White Tongue,"Vitamin B6 Deficiency, Vitamin B12 Deficiency, Vitamin B7 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Dry or Flasky Skin,Cracked,terry's nail,,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Dry or Flasky Skin,Cracked,terry's nail,Magenta Coloured Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Dry or Flasky Skin,Cracked,terry's nail,Not Visible / Normal,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Dry or Flasky Skin,Cracked,terry's nail,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Cracked,terry's nail,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Cracked,white spot,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Cracked,white spot,Magenta Coloured Tongue,"Vitamin B2 Deficiency, Vitamin B2 Deficiency, Vitamin B5 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Dry or Flasky Skin,Cracked,white spot,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Cracked,white spot,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Cracked,white spot,White Tongue,"Vitamin K Deficiency, Vitamin E Deficiency, Vitamin B2 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Dry or Flasky Skin,Normal,,,"Vitamin B1 Deficiency, Vitamin B2 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Dry or Flasky Skin,Normal,,Magenta Coloured Tongue,"Vitamin B9 Deficiency, Vitamin B2 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Dry or Flasky Skin,Normal,,Not Visible / Normal,"Vitamin B3 Deficiency, Vitamin C Deficiency, Vitamin C Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Cataracts,Dry or Flasky Skin,Normal,,Swollen Red,"Vitamin B5 Deficiency, Vitamin B7 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Dry or Flasky Skin,Normal,,White Tongue,"Vitamin B5 Deficiency, Vitamin B5 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Dry or Flasky Skin,Normal,beau's line,,Vitamin B2 Deficiency,"Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Dry or Flasky Skin,Normal,beau's line,Magenta Coloured Tongue,"Vitamin B5 Deficiency, Vitamin B1 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Dry or Flasky Skin,Normal,beau's line,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Normal,beau's line,Swollen Red,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Dry or Flasky Skin,Normal,beau's line,White Tongue,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Dry or Flasky Skin,Normal,black line,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Normal,black line,Magenta Coloured Tongue,"Vitamin B2 Deficiency, Vitamin B3 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Dry or Flasky Skin,Normal,black line,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Normal,black line,Swollen Red,"Vitamin B12 Deficiency, Vitamin B6 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Dry or Flasky Skin,Normal,black line,White Tongue,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Dry or Flasky Skin,Normal,clubbing,,"Vitamin B12 Deficiency, Vitamin K Deficiency, Vitamin B6 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Dry or Flasky Skin,Normal,clubbing,Magenta Coloured Tongue,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Dry or Flasky Skin,Normal,clubbing,Not Visible / Normal,"Vitamin A Deficiency, Vitamin K Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Dry or Flasky Skin,Normal,clubbing,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Normal,clubbing,White Tongue,"Vitamin A Deficiency, Vitamin B12 Deficiency, Vitamin C Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Cataracts,Dry or Flasky Skin,Normal,muehrck-e's lines,,"Vitamin D Deficiency, Vitamin B12 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Dry or Flasky Skin,Normal,muehrck-e's lines,Magenta Coloured Tongue,"Vitamin B5 Deficiency, Vitamin B5 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Dry or Flasky Skin,Normal,muehrck-e's lines,Not Visible / Normal,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Cataracts,Dry or Flasky Skin,Normal,muehrck-e's lines,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Dry or Flasky Skin,Normal,muehrck-e's lines,White Tongue,"Vitamin B6 Deficiency, Vitamin D Deficiency, Vitamin B9 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Dry or Flasky Skin,Normal,onycholysis,,"Vitamin B12 Deficiency, Vitamin B3 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Dry or Flasky Skin,Normal,onycholysis,Magenta Coloured Tongue,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Dry or Flasky Skin,Normal,onycholysis,Not Visible / Normal,"Vitamin B7 Deficiency, Vitamin C Deficiency, Vitamin E Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Dry or Flasky Skin,Normal,onycholysis,Swollen Red,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Dry or Flasky Skin,Normal,onycholysis,White Tongue,"Vitamin B1 Deficiency, Vitamin E Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Dry or Flasky Skin,Normal,terry's nail,,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Dry or Flasky Skin,Normal,terry's nail,Magenta Coloured Tongue,"Vitamin E Deficiency, Vitamin B6 Deficiency, Vitamin B12 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Dry or Flasky Skin,Normal,terry's nail,Not Visible / Normal,"Vitamin E Deficiency, Vitamin D Deficiency, Vitamin B6 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Dry or Flasky Skin,Normal,terry's nail,Swollen Red,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Dry or Flasky Skin,Normal,terry's nail,White Tongue,"Vitamin K Deficiency, Vitamin B5 Deficiency, Vitamin B1 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Dry or Flasky Skin,Normal,white spot,,"Vitamin B5 Deficiency, Vitamin D Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Dry or Flasky Skin,Normal,white spot,Magenta Coloured Tongue,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Dry or Flasky Skin,Normal,white spot,Not Visible / Normal,"Vitamin K Deficiency, Vitamin K Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Dry or Flasky Skin,Normal,white spot,Swollen Red,"Vitamin E Deficiency, Vitamin B1 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Dry or Flasky Skin,Normal,white spot,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,,,,"Vitamin B12 Deficiency, Vitamin B2 Deficiency, Vitamin C Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Cataracts,Hyperpigmentation or Dark Patches,,,Magenta Coloured Tongue,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Hyperpigmentation or Dark Patches,,,Not Visible / Normal,"Vitamin K Deficiency, Vitamin B9 Deficiency, Vitamin C Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Cataracts,Hyperpigmentation or Dark Patches,,,Swollen Red,"Vitamin C Deficiency, Vitamin B3 Deficiency, Vitamin B9 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,,,White Tongue,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Hyperpigmentation or Dark Patches,,beau's line,,Vitamin B2 Deficiency,"Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Cataracts,Hyperpigmentation or Dark Patches,,beau's line,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,,beau's line,Not Visible / Normal,"Vitamin B3 Deficiency, Vitamin B12 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Hyperpigmentation or Dark Patches,,beau's line,Swollen Red,"Vitamin B9 Deficiency, Vitamin K Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Hyperpigmentation or Dark Patches,,beau's line,White Tongue,"Vitamin E Deficiency, Vitamin B9 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,,black line,,"Vitamin B3 Deficiency, Vitamin B5 Deficiency, Vitamin B6 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Cataracts,Hyperpigmentation or Dark Patches,,black line,Magenta Coloured Tongue,"Vitamin B1 Deficiency, Vitamin C Deficiency, Vitamin B9 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,,black line,Not Visible / Normal,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Cataracts,Hyperpigmentation or Dark Patches,,black line,Swollen Red,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Hyperpigmentation or Dark Patches,,black line,White Tongue,"Vitamin B6 Deficiency, Vitamin B12 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Cataracts,Hyperpigmentation or Dark Patches,,clubbing,,"Vitamin B12 Deficiency, Vitamin A Deficiency, Vitamin B3 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,,clubbing,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,,clubbing,Not Visible / Normal,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,,clubbing,Swollen Red,"Vitamin C Deficiency, Vitamin K Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Hyperpigmentation or Dark Patches,,clubbing,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,,muehrck-e's lines,,"Vitamin B7 Deficiency, Vitamin D Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Hyperpigmentation or Dark Patches,,muehrck-e's lines,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,,muehrck-e's lines,Not Visible / Normal,"Vitamin A Deficiency, Vitamin K Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Hyperpigmentation or Dark Patches,,muehrck-e's lines,Swollen Red,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Hyperpigmentation or Dark Patches,,muehrck-e's lines,White Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Hyperpigmentation or Dark Patches,,onycholysis,,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,,onycholysis,Magenta Coloured Tongue,"Vitamin K Deficiency, Vitamin B2 Deficiency, Vitamin D Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Hyperpigmentation or Dark Patches,,onycholysis,Not Visible / Normal,"Vitamin D Deficiency, Vitamin B9 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,,onycholysis,Swollen Red,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Hyperpigmentation or Dark Patches,,onycholysis,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,,terry's nail,,"Vitamin B12 Deficiency, Vitamin E Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Hyperpigmentation or Dark Patches,,terry's nail,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Cataracts,Hyperpigmentation or Dark Patches,,terry's nail,Not Visible / Normal,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,,terry's nail,Swollen Red,"Vitamin K Deficiency, Vitamin A Deficiency, Vitamin C Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Cataracts,Hyperpigmentation or Dark Patches,,terry's nail,White Tongue,"Vitamin A Deficiency, Vitamin B2 Deficiency, Vitamin D Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Cataracts,Hyperpigmentation or Dark Patches,,white spot,,"Vitamin B12 Deficiency, Vitamin B5 Deficiency, Vitamin E Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Cataracts,Hyperpigmentation or Dark Patches,,white spot,Magenta Coloured Tongue,"Vitamin K Deficiency, Vitamin A Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Cataracts,Hyperpigmentation or Dark Patches,,white spot,Not Visible / Normal,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Cataracts,Hyperpigmentation or Dark Patches,,white spot,Swollen Red,"Vitamin E Deficiency, Vitamin B6 Deficiency, Vitamin K Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Cataracts,Hyperpigmentation or Dark Patches,,white spot,White Tongue,"Vitamin B12 Deficiency, Vitamin B1 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,,,"Vitamin A Deficiency, Vitamin B9 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Cataracts,Hyperpigmentation or Dark Patches,Angular cheilitis,,Magenta Coloured Tongue,"Vitamin E Deficiency, Vitamin B3 Deficiency, Vitamin E Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
